customer_id,first_name,last_name,date_of_birth,gender
1,Julie,Sam,1/12/1989,F
2,Steve,Ryan,4/3/1983,M
3,Morris,Lois,12/9/1993,M
4,Cathenna,Emily,9/14/1977,F
5,Aaron,Kim,2/18/1991,M
6,Alexander,Scot,2/12/1985,M
7,Anderson,Stewart,1/11/1992,M
8,Floyd,Ted,2/21/1993,M
9,Leo,Travis,3/22/1994,M
10,Melvin,Tracy,4/23/1995,M
11,Roger,Walson,5/24/1996,M
12,Shirley,Wally,6/25/1997,F
13,Solomon,Walter,7/26/1998,M
14,Carol,Vernon,8/27/1999,F
15,Linda,William,9/28/1986,F
16,Chirstine,Willis,10/6/1987,F
17,Catherine,Shad,11/9/1988,F
18,Gloria,Richie,12/4/1989,F
19,Joyce,Paul,6/2/1990,F
20,Sara,Oliver,1/1/1991,F
21,Chirsty,Josh,1/10/2004,M
22,Pheny,Eri,1/29/1999,M
23,Erwin,Tosh,2/3/1994,M
24,Calvin,Willis,2/15/1994,M
25,Moss,Morris,2/18/2011,M
26,Bryan,Collin,2/28/2011,M
27,Cherly,Vernon,3/19/1992,F
28,Du plesis,Chris,4/17/1994,M
29,Watson,Ronald,1/11/1991,M
30,Donack,Dukins,2/19/1991,M
31,James,Robert,4/12/1994,M
32,Chirstoper,Sean,6/21/1993,M
33,Mark,Ethan,5/22/1994,M
34,Jacqueline,Keith,4/23/1994,F
35,Jeffrey,Aaron,2/24/1991,M
36,Kayla,Patrick,2/27/1993,F
37,Samuel,Scott,1/28/2000,M
38,Alexis,Scott,10/31/2001,M
39,Tyler,Edward,11/30/2006,M
40,Adam,Paul,12/31/2007,M
41,Kyle,Mark,11/29/2004,F
42,Roger,Mattew,11/28/2008,M
43,Joe,Daniel,3/27/2001,M
44,Bily,Brian,10/26/2002,M
45,Doris,Walter,12/23/1993,M
46,Louis,Douglas,9/22/1997,M
47,Sophia,Carl,8/11/1999,F
48,Wayne,Noah,7/2/1998,F
49,Russell,Peter,6/1/1996,M
50,Rose,Arthur,5/23/1996,F
